vertex_id,title,x,y,path
UG,Uganda,488.35,328.65,"M 0.75 14.550000000000011 L -0.1500000000000341 14.850000000000023 L -0.9500000000000455 14.150000000000034 L 0.14999999999997726 14.050000000000011 Z  M 7.75 10.25 L 8.149999999999977 9.050000000000011 L 9.25 9.050000000000011 L 8.949999999999989 10.850000000000023 Z  M -3.75 19.850000000000023 L -3.75 19.75 L -3.650000000000034 19.850000000000023 Z  M -22.150000000000034 15.450000000000045 L -19.950000000000045 12.650000000000034 L -21.75 12.25 L -19.650000000000034 7.25 L -19.650000000000034 4.850000000000023 L -15.050000000000011 1.150000000000034 L -14.25 2.8500000000000227 L -11.150000000000034 -1.25 L -7.350000000000023 -4.149999999999977 L -8.350000000000023 -6.649999999999977 L -13.050000000000011 -9.149999999999977 L -11.850000000000023 -12.75 L -12.75 -13.949999999999989 L -11.950000000000045 -17.75 L -9.450000000000045 -20.25 L -6.350000000000023 -19.149999999999977 L -4.050000000000011 -20.44999999999999 L -0.6500000000000341 -17.94999999999999 L 0.9499999999999886 -19.75 L 6.449999999999989 -20.94999999999999 L 10.75 -20.049999999999955 L 14.549999999999955 -23.75 L 16.149999999999977 -20.049999999999955 L 18.44999999999999 -19.149999999999977 L 17.94999999999999 -16.849999999999966 L 19.549999999999955 -13.049999999999955 L 22.44999999999999 -9.149999999999977 L 22.849999999999966 -2.4499999999999886 L 21.349999999999966 1.25 L 18.849999999999966 2.3500000000000227 L 14.549999999999955 9.550000000000011 L 10.949999999999989 10.050000000000011 L 8.449999999999989 8.350000000000023 L 6.25 10.550000000000011 L 2.75 10.350000000000023 L -2.9500000000000455 12.650000000000034 L -2.150000000000034 14.050000000000011 L -4.850000000000023 18.150000000000034 L -4.150000000000034 19.850000000000023 L -12.150000000000034 19.850000000000023 L -15.150000000000034 20.350000000000023 L -19.950000000000045 23.75 L -22.650000000000034 23.05000000000001 L -22.850000000000023 19.150000000000034 Z"
NG,Nigeria,289,264.04999999999995,"M -10.800000000000011 39.05000000000007 L -9 39.25000000000006 L -12.600000000000023 39.75000000000006 L -11.899999999999977 38.85000000000002 Z  M -50.19999999999999 23.550000000000068 L -50.19999999999999 23.550000000000068 L -49.599999999999994 17.950000000000045 L -50.599999999999994 10.650000000000034 L -49.900000000000006 0.7500000000000568 L -47.19999999999999 0.1500000000000341 L -46.900000000000006 -2.449999999999932 L -43.599999999999994 -6.0499999999999545 L -43.19999999999999 -9.849999999999966 L -41 -12.549999999999955 L -42 -16.849999999999966 L -44 -19.249999999999943 L -43.099999999999994 -21.849999999999966 L -42.80000000000001 -29.049999999999955 L -39 -33.14999999999995 L -38.80000000000001 -37.24999999999994 L -35.599999999999994 -39.24999999999994 L -29.100000000000023 -39.74999999999994 L -26.69999999999999 -40.849999999999966 L -19.80000000000001 -38.74999999999994 L -15.199999999999989 -33.44999999999996 L -11.100000000000023 -34.349999999999966 L -8 -36.24999999999994 L -5.300000000000011 -36.14999999999995 L -0.10000000000002274 -32.849999999999966 L 8 -32.049999999999955 L 10.399999999999977 -34.849999999999966 L 16.69999999999999 -36.849999999999966 L 23.19999999999999 -36.849999999999966 L 28.5 -34.74999999999994 L 32 -34.24999999999994 L 32.69999999999999 -35.849999999999966 L 39.5 -39.94999999999996 L 41.60000000000002 -39.849999999999966 L 45.5 -34.44999999999996 L 46.5 -28.44999999999996 L 50.60000000000002 -26.64999999999995 L 50 -20.849999999999966 L 46.39999999999998 -18.64999999999995 L 44.89999999999998 -18.94999999999996 L 41.39999999999998 -13.849999999999966 L 40.30000000000001 -9.349999999999966 L 38.69999999999999 -8.649999999999949 L 38.30000000000001 -4.0499999999999545 L 35.5 -2.749999999999943 L 35 1.9500000000000455 L 30.100000000000023 5.750000000000057 L 29.899999999999977 9.250000000000057 L 26.100000000000023 15.350000000000023 L 27.30000000000001 16.650000000000034 L 24.600000000000023 18.650000000000034 L 22.600000000000023 22.350000000000023 L 16.5 17.150000000000034 L 15.600000000000023 18.650000000000034 L 12.399999999999977 17.650000000000034 L 1.8000000000000114 27.450000000000045 L 1.3999999999999773 33.25000000000006 L -0.30000000000001137 36.150000000000034 L -0.30000000000001137 36.150000000000034 L -3.3999999999999773 35.150000000000034 L -3 38.450000000000045 L -7.699999999999989 38.75000000000006 L -11.100000000000023 37.950000000000045 L -13.600000000000023 39.75000000000006 L -20.600000000000023 40.85000000000002 L -25.600000000000023 37.85000000000002 L -27.80000000000001 31.950000000000045 L -31.69999999999999 26.450000000000045 L -35.80000000000001 23.450000000000045 L -40.30000000000001 22.850000000000023 Z"
ST,Sao Tome and Principe,272.25,338.70000000000005,"M 0.05000000000001137 1.3999999999999773 L -1.25 0.1999999999999318 L 0.25 -1.400000000000034 L 1.25 -0.4000000000000341 Z"
TZ,United Republic of Tanzania,511.15,393.7,"M 39.64999999999998 13.800000000000011 L 38.64999999999998 13.300000000000011 L 39.450000000000045 12.199999999999989 L 40.950000000000045 11.699999999999989 Z  M 35.450000000000045 -4.199999999999989 L 36.25 -5.399999999999977 L 37.75 0.9000000000000341 L 35.05000000000007 -1.6999999999999886 Z  M 39.05000000000007 -7.599999999999966 L 39.35000000000002 -12.300000000000011 L 40.450000000000045 -11.599999999999966 L 40.75 -9.300000000000011 Z  M -17.25 -37.30000000000001 L -15.849999999999966 -37.099999999999966 L -15.25 -35.39999999999998 L -17.94999999999999 -36.39999999999998 Z  M -0.5499999999999545 43.80000000000001 L -0.5499999999999545 43.10000000000002 L -0.9499999999999886 42.5 L -1.1499999999999773 42.30000000000001 L -1.1499999999999773 42.30000000000001 L -1.9499999999999886 41.69999999999999 L -2.4499999999999886 41.19999999999999 L -2.5499999999999545 41.10000000000002 L -2.5499999999999545 40.900000000000034 L -4.5499999999999545 30 L -6.149999999999977 28 L -6.949999999999989 27.100000000000023 L -6.949999999999989 27.100000000000023 L -7.25 27 L -7.849999999999966 26.400000000000034 L -7.849999999999966 26.30000000000001 L -7.949999999999989 26.30000000000001 L -9.049999999999955 26.600000000000023 L -9.349999999999966 28 L -13.549999999999955 27 L -17.649999999999977 25.400000000000034 L -22.149999999999977 23 L -25.44999999999999 22.5 L -29.149999999999977 19.400000000000034 L -32.25 18.400000000000034 L -37.14999999999998 9.300000000000011 L -37.349999999999966 4.699999999999989 L -41.049999999999955 0.4000000000000341 L -44.44999999999999 -1.3000000000000114 L -42.44999999999999 -4.099999999999966 L -44.14999999999998 -8.199999999999989 L -43.549999999999955 -10.800000000000011 L -45.44999999999999 -12.599999999999966 L -44.94999999999999 -16.399999999999977 L -41.94999999999999 -17.899999999999977 L -38.049999999999955 -24.19999999999999 L -35.25 -26.19999999999999 L -35.049999999999955 -28.69999999999999 L -38.44999999999999 -29.69999999999999 L -37.25 -33.5 L -34.94999999999999 -34 L -34.94999999999999 -40.19999999999999 L -37.94999999999999 -44.69999999999999 L -34.94999999999999 -45.19999999999999 L -26.94999999999999 -45.19999999999999 L -26.94999999999999 -44.69999999999999 L -26.549999999999955 -45.19999999999999 L -26.44999999999999 -45.19999999999999 L -26.149999999999977 -43.89999999999998 L -28.349999999999966 -36.5 L -25.849999999999966 -33.30000000000001 L -26.549999999999955 -31 L -23.25 -34.69999999999999 L -22.049999999999955 -33.19999999999999 L -14.849999999999966 -32.39999999999998 L -9.649999999999977 -34.89999999999998 L -11.849999999999966 -36.89999999999998 L -11.25 -41.099999999999966 L -7.649999999999977 -44.69999999999999 L 22.350000000000023 -27.899999999999977 L 21.950000000000045 -23.899999999999977 L 35.25 -14.099999999999966 L 34.75 -10.599999999999966 L 31.649999999999977 -2.8000000000000114 L 32.25 -0.0999999999999659 L 37.450000000000045 4.199999999999989 L 38.05000000000007 6.400000000000034 L 35.75 10.400000000000034 L 37.25 13.900000000000034 L 35.75 16.400000000000034 L 36.35000000000002 19.80000000000001 L 38.75 23.80000000000001 L 40.14999999999998 29.400000000000034 L 39.35000000000002 30.30000000000001 L 45.450000000000045 33.60000000000002 L 45.35000000000002 34.69999999999999 L 41.75 37.60000000000002 L 35.64999999999998 40.400000000000034 L 32.35000000000002 40.5 L 29.050000000000068 42.60000000000002 L 27.050000000000068 41.400000000000034 L 23.850000000000023 41.69999999999999 L 23.050000000000068 43.80000000000001 L 20.050000000000068 45.19999999999999 L 14.950000000000045 43.900000000000034 L 12.850000000000023 45.19999999999999 L 9.75 44.900000000000034 L 6.649999999999977 42.5 L 4.550000000000068 44.10000000000002 Z"
SL,Sierra Leone,116,271.5,"M -6.599999999999994 7.399999999999977 L -5.900000000000006 9.100000000000023 L -6.599999999999994 8.5 L -9.599999999999994 7.800000000000011 Z  M 12.800000000000011 -0.39999999999997726 L 12.199999999999989 2.5 L 10.099999999999994 3.6999999999999886 L 10.099999999999994 5.800000000000011 L 3.799999999999997 11.199999999999989 L 3 13.100000000000023 L -0.09999999999999432 11.199999999999989 L -5.799999999999997 9.199999999999989 L -4.900000000000006 7.899999999999977 L -9.700000000000003 4.899999999999977 L -9.900000000000006 2 L -11.400000000000006 2.6999999999999886 L -12.799999999999997 -4.600000000000023 L -10.5 -5.199999999999989 L -7.700000000000003 -8 L -6.200000000000003 -11.699999999999989 L -1.0999999999999943 -13 L 4.299999999999997 -13.100000000000023 L 9.400000000000006 -7.300000000000011 L 11.099999999999994 -1.8999999999999773 L 9.099999999999994 1.1000000000000227 Z"
GW,Guinea Bissau,86.5,243.25,"M -7.900000000000006 5.449999999999989 L -5.799999999999997 5.75 L -5.400000000000006 6.650000000000006 L -8.200000000000003 6.849999999999994 Z  M 1.9000000000000057 7.449999999999989 L -1.4000000000000057 5.550000000000011 L -2 2.9499999999999886 L 1.4000000000000057 2.0500000000000114 L 0 0.75 L -3.5999999999999943 2.9499999999999886 L -1.0999999999999943 -1.0500000000000114 L -6.200000000000003 0.9499999999999886 L -12.799999999999997 -4.050000000000011 L -8.599999999999994 -5.150000000000006 L -3.9000000000000057 -5.150000000000006 L 0.09999999999999432 -7.25 L 12.599999999999994 -7.449999999999989 L 12.799999999999997 -3.9499999999999886 L 10.599999999999994 -2.8499999999999943 L 12.700000000000003 -1.6500000000000057 L 12.700000000000003 0.8499999999999943 L 8.099999999999994 1.3499999999999943 L 4.599999999999994 2.75 Z"
CV,Cape Verde,11.25,208.7,"M -2.4499999999999993 10.300000000000011 L -4.05 9.5 L -3.0500000000000007 8.5 L -2.1500000000000004 9.400000000000006 Z  M 2.4499999999999993 5.900000000000006 L 5.050000000000001 8.5 L 4.65 9.300000000000011 L 2.25 8.400000000000006 Z  M 7.25 5.800000000000011 L 7.850000000000001 7.100000000000023 L 7.25 7.5 L 6.649999999999999 7.100000000000023 Z  M 9.850000000000001 -2.0999999999999943 L 11.25 -1.799999999999983 L 10.25 -0.09999999999999432 L 9.05 -0.39999999999997726 Z  M -2.4499999999999993 -5.599999999999994 L -1.9499999999999993 -5.299999999999983 L -2.75 -4.199999999999989 L -3.55 -5.799999999999983 Z  M -9.35 -10.299999999999983 L -8.35 -9.599999999999994 L -11.05 -7.799999999999983 L -11.25 -9.5 Z"
SC,Seychelles,683.35,381.3,"M -0.25 -0.6999999999999886 L 0.35000000000002274 -0.30000000000001137 L 0.049999999999954525 0.6999999999999886 L -0.35000000000002274 -0.30000000000001137 Z"
TN,Tunisia,294.65,36.45,"M 11.950000000000045 -0.45000000000000284 L 13.150000000000034 0.5499999999999972 L 11.650000000000034 1.9499999999999957 L 10.350000000000023 -0.3500000000000014 Z  M 16.950000000000045 6.849999999999994 L 16.55000000000001 12.349999999999994 L 17.55000000000001 14.049999999999997 L 11.650000000000034 17.449999999999996 L 5.150000000000034 24.75 L 6.550000000000011 29.64999999999999 L 3.150000000000034 35.25 L 0.1500000000000341 36.45 L -4.0499999999999545 18.15 L -10.25 13.25 L -12.25 7.949999999999996 L -15.149999999999977 6.75 L -17.549999999999955 -0.25 L -14.549999999999955 -5.650000000000002 L -11.149999999999977 -8.050000000000004 L -10.449999999999989 -18.550000000000004 L -11.149999999999977 -20.35 L -9.849999999999966 -29.050000000000004 L -8.149999999999977 -32.150000000000006 L -2.9499999999999886 -35.35 L 2.5500000000000114 -36.45 L 6.150000000000034 -34.85 L 5.25 -33.75 L 7.550000000000011 -30.050000000000004 L 12.850000000000023 -33.85 L 13.550000000000011 -31.650000000000002 L 10.650000000000034 -27.150000000000002 L 8.25 -25.950000000000003 L 9.150000000000034 -20.85 L 12.950000000000045 -18.35 L 13.850000000000023 -14.350000000000001 L 9.050000000000011 -7.150000000000002 L 5.050000000000011 -4.850000000000001 L 4.4500000000000455 -1.3500000000000014 L 6.850000000000023 1.5499999999999972 L 10.150000000000034 1.4499999999999957 L 10.150000000000034 3.75 L 12.450000000000045 2.1499999999999986 L 14.150000000000034 6.549999999999997 L 16.950000000000045 6.849999999999994 L 16.950000000000045 6.849999999999994 Z"
MG,Madagascar,609.6,501.35,"M 12.699999999999932 -48.75 L 12.799999999999955 -47.35000000000002 L 11.699999999999932 -47.55000000000001 L 11.699999999999932 -48.75 Z  M -12 59.64999999999998 L -15 59.75 L -17.5 57.549999999999955 L -21.300000000000068 56.64999999999998 L -24.100000000000023 54.25 L -26.800000000000068 48.85000000000002 L -27.200000000000045 41.94999999999993 L -26.300000000000068 40.25 L -29.600000000000023 34.549999999999955 L -30.600000000000023 29.25 L -28.200000000000045 21.049999999999955 L -25.600000000000023 20.25 L -24.899999999999977 17.25 L -20 8.75 L -19.899999999999977 5.25 L -22 1.1499999999999773 L -21.700000000000045 -1.0500000000000114 L -23.399999999999977 -4.350000000000023 L -24.300000000000068 -12.850000000000023 L -20.100000000000023 -19.350000000000023 L -19.899999999999977 -23.850000000000023 L -16.5 -23.450000000000045 L -13.100000000000023 -26.05000000000001 L -10.200000000000045 -25.450000000000045 L -9.5 -27.150000000000034 L -5.100000000000023 -27.850000000000023 L 1.1999999999999318 -32.150000000000034 L 1.1000000000000227 -29.350000000000023 L 3.3999999999999773 -30.05000000000001 L 2 -31.950000000000045 L 5.399999999999977 -36.75 L 5.5 -33.150000000000034 L 7.7999999999999545 -37.25 L 7.5 -39.150000000000034 L 10.299999999999955 -41.650000000000034 L 8.899999999999977 -44.150000000000034 L 9.699999999999932 -46.450000000000045 L 12.699999999999932 -44.150000000000034 L 13.600000000000023 -46.35000000000002 L 16.299999999999955 -47.35000000000002 L 18.100000000000023 -52.450000000000045 L 17.5 -54.55000000000001 L 20.699999999999932 -59.75 L 23.199999999999932 -54.05000000000001 L 26.299999999999955 -50.450000000000045 L 27.899999999999977 -43.950000000000045 L 28.600000000000023 -35.75 L 30.600000000000023 -29.650000000000034 L 28.399999999999977 -25.150000000000034 L 26.799999999999955 -26.150000000000034 L 25.699999999999932 -29.950000000000045 L 23.5 -28.950000000000045 L 25.199999999999932 -20.150000000000034 L 21.600000000000023 -13.850000000000023 L 22.199999999999932 -10.550000000000011 L 20.899999999999977 -3.9500000000000455 L 18.5 1.6499999999999773 L 14 14.949999999999932 L 10.899999999999977 25.75 L 7.899999999999977 34.25 L 5.399999999999977 44.14999999999998 L 1.6000000000000227 53.94999999999993 L -2.300000000000068 56.14999999999998 L -5.800000000000068 56.25 Z"
