vertex_id,title,x,y,path
US.MA,Massachusetts,658.05,116.85,"M 14.75 9.75 L 17.75 10.450000000000003 L 15.150000000000091 11.349999999999994 L 13.950000000000045 12.650000000000006 Z  M 7.350000000000023 8.050000000000011 L 7.150000000000091 7.25 L 6.650000000000091 7.650000000000006 L 4.9500000000000455 6.550000000000011 L 3.4500000000000455 3.25 L -1.5499999999999545 4.650000000000006 L -13.149999999999977 7.3500000000000085 L -21.949999999999932 9.25 L -22.449999999999932 8.950000000000003 L -22.25 -2.6499999999999915 L -17.949999999999932 -3.6499999999999915 L -12.649999999999977 -4.849999999999994 L -12.649999999999977 -4.849999999999994 L 1.3500000000000227 -8.149999999999991 L 2.650000000000091 -10.449999999999989 L 6.350000000000023 -12.649999999999991 L 7.550000000000068 -10.149999999999991 L 10.050000000000068 -9.449999999999989 L 7.150000000000091 -6.949999999999989 L 6.350000000000023 -2.6499999999999915 L 7.9500000000000455 -3.3499999999999943 L 10.650000000000091 -2.25 L 14.650000000000091 3.5500000000000114 L 18.25 4.25 L 20.950000000000045 2.1500000000000057 L 19.350000000000023 -1.75 L 21.550000000000068 0.75 L 22.450000000000045 3.75 L 19.550000000000068 4.8500000000000085 L 14.150000000000091 8.650000000000006 L 13.550000000000068 5.450000000000003 L 10.950000000000045 7.650000000000006 L 11.150000000000091 9.150000000000006 L 8.950000000000045 10.450000000000003 L 8.150000000000091 8.050000000000011 Z"
US.WA,Washington,79.5,33.2,"M -20 -29.700000000000003 L -18.700000000000003 -27.800000000000004 L -20.9 -27.200000000000003 L -20.6 -24.200000000000003 L -23.799999999999997 -26.700000000000003 L -22.200000000000003 -27.1 Z  M -18.4 -22.800000000000004 L -20.6 -20.800000000000004 L -19.299999999999997 -19.900000000000002 L -17.799999999999997 -14.900000000000002 L -20 -16.200000000000003 L -19.799999999999997 -19.300000000000004 L -20.799999999999997 -21.1 L -18.4 -22.800000000000004 L -18.9 -23.300000000000004 L -19 -25.900000000000002 L -17.1 -23.6 L -15.799999999999997 -25.500000000000004 L -15.600000000000001 -28.300000000000004 L -17.200000000000003 -29.1 L -18 -32.400000000000006 L -17.1 -33.2 L 44.7 -16.6 L 34.400000000000006 26.5 L 35.2 30.099999999999994 L 34.900000000000006 33.2 L 10.599999999999994 27.199999999999996 L 9.400000000000006 27.799999999999997 L 3.5999999999999943 26.799999999999997 L -4.5 27.799999999999997 L -9 26.699999999999996 L -12.599999999999994 27.199999999999996 L -15.700000000000003 26.5 L -16.5 25 L -22.299999999999997 23 L -28.4 24 L -33.3 20.799999999999997 L -32.6 15.5 L -33.1 13 L -35.8 11 L -38.1 10.599999999999994 L -38.6 8.399999999999999 L -40.9 7.099999999999994 L -43.2 7.599999999999994 L -44.7 5 L -43.2 0.19999999999999574 L -43.5 3.6999999999999957 L -41.9 2.5999999999999943 L -40.9 -0.7000000000000028 L -43.1 -1.3000000000000043 L -42.8 -3.8000000000000043 L -38.9 -3.8000000000000043 L -42.4 -6.400000000000002 L -42.4 -12.000000000000004 L -41.5 -18.6 L -43 -22.000000000000004 L -42.6 -26.6 L -39.9 -29.300000000000004 L -35.2 -24.300000000000004 L -26.799999999999997 -20.6 L -25.5 -21.300000000000004 L -24.5 -18.500000000000004 L -21.5 -19.400000000000002 L -21.200000000000003 -14.800000000000004 L -23.799999999999997 -11.700000000000003 L -20 -14.800000000000004 L -22.200000000000003 -10.000000000000004 L -20.799999999999997 -5.800000000000004 L -25 -6.300000000000004 L -26.299999999999997 -3.700000000000003 L -25.799999999999997 -7.300000000000004 L -29.4 -3.700000000000003 L -25.200000000000003 -2.6000000000000014 L -23 -5.200000000000003 L -20.299999999999997 -5.800000000000004 L -20.299999999999997 -9.000000000000004 L -19.299999999999997 -12.300000000000004 L -16.200000000000003 -15.100000000000001 L -17.4 -19.800000000000004 L -16.6 -20.900000000000002 Z"
US.CA,California,53.5,198.7,"M -42.8 -91.29999999999998 L 7.700000000000003 -76.39999999999999 L -5.399999999999999 -27.899999999999977 L 13 -0.5 L 27.799999999999997 22 L 49.2 53.900000000000006 L 50.900000000000006 63.400000000000034 L 53.5 67.10000000000002 L 49.5 69 L 47 71.60000000000002 L 46.7 75.30000000000001 L 43.900000000000006 79.60000000000002 L 42.5 79.69999999999999 L 41.7 85.10000000000002 L 44.400000000000006 87.5 L 42.7 91.30000000000001 L 40 91.19999999999999 L 6 86.80000000000001 L 6.5 84.10000000000002 L 4.799999999999997 83.5 L 5.5 76.69999999999999 L 3.8999999999999986 72.40000000000003 L -3.5 63.19999999999999 L -6.799999999999997 62.69999999999999 L -6.200000000000003 61.19999999999999 L -7.399999999999999 57.400000000000034 L -11.100000000000001 57.20000000000002 L -15.899999999999999 53.30000000000001 L -16.299999999999997 51.400000000000006 L -20.299999999999997 47.5 L -23.8 46.80000000000001 L -27 44.80000000000001 L -31.6 43.900000000000006 L -33.3 41 L -30.8 32.10000000000002 L -33.7 29.400000000000006 L -32.4 28.30000000000001 L -35.5 22.100000000000023 L -36.9 21.200000000000017 L -40.2 11 L -41.9 8.700000000000017 L -41.7 4 L -39 2.9000000000000057 L -38.1 1 L -39.2 -2.299999999999983 L -42 -3.0999999999999943 L -44.2 -7.599999999999994 L -43.4 -10.199999999999989 L -44.1 -13.399999999999977 L -42.8 -17.399999999999977 L -41.3 -17.399999999999977 L -41.7 -13.799999999999983 L -38.3 -10.299999999999983 L -38.9 -14.199999999999989 L -40.5 -16.69999999999999 L -39.8 -20.5 L -36.7 -20.099999999999994 L -39.5 -22.899999999999977 L -41.1 -22.69999999999999 L -42.8 -18 L -46.6 -22.899999999999977 L -47.3 -30.399999999999977 L -52.5 -40.29999999999998 L -51.5 -41.89999999999998 L -51.5 -47.5 L -49.9 -50.39999999999998 L -49.4 -55.29999999999998 L -51.3 -60.69999999999999 L -53.5 -64.19999999999999 L -53.1 -67.19999999999999 L -46.4 -75.6 L -43.8 -81.69999999999999 L -43.5 -86.89999999999999 L -44.5 -87.89999999999999 Z"
US.OR,Oregon,63.550000000000004,86.25,"M -2.3500000000000014 36.05 L -52.85000000000001 21.150000000000006 L -53.95 18.849999999999994 L -53.75 15.049999999999997 L -51.85000000000001 9.849999999999994 L -52.45 6.450000000000003 L -50.25 3.8499999999999943 L -47.85000000000001 -0.8499999999999943 L -45.150000000000006 -3.6500000000000057 L -42.45 -8.650000000000006 L -37.45 -20.349999999999994 L -36.650000000000006 -23.450000000000003 L -30.950000000000003 -34.65 L -30.85 -38.25 L -29.250000000000007 -41.55 L -28.750000000000007 -45.25 L -24.650000000000006 -43.75 L -22.750000000000007 -44.35 L -22.250000000000007 -42.25 L -19.85 -42.05 L -17.150000000000006 -40.05 L -16.650000000000006 -37.55 L -17.35 -32.25 L -12.450000000000003 -29.049999999999997 L -6.350000000000001 -30.049999999999997 L -0.5500000000000043 -28.049999999999997 L 0.2499999999999929 -26.549999999999997 L 3.3500000000000014 -25.85 L 6.949999999999996 -26.35 L 11.449999999999996 -25.25 L 19.54999999999999 -26.25 L 25.35 -25.25 L 26.54999999999999 -25.85 L 50.85 -19.849999999999994 L 51.54999999999999 -16.849999999999994 L 53.85 -14.849999999999994 L 53.949999999999996 -11.849999999999994 L 50.949999999999996 -8.549999999999997 L 47.15 -1.9500000000000028 L 41.15 4.150000000000006 L 40.54999999999999 7.150000000000006 L 43.65 9.849999999999994 L 40.65 16.049999999999997 L 33.85 45.25 Z"
US.WI,Wisconsin,429.7,114,"M 35.19999999999999 -13.799999999999997 L 34.5 -9.799999999999997 L 32.10000000000002 -4.599999999999994 L 30.600000000000023 -6.200000000000003 L 32.19999999999999 -10.599999999999994 Z  M -5.599999999999966 37.19999999999999 L -6.5 34.80000000000001 L -10.800000000000011 33.599999999999994 L -12.699999999999989 26.69999999999999 L -11.800000000000011 24.599999999999994 L -14 21 L -14.899999999999977 14 L -16.599999999999966 12.400000000000006 L -19.5 11.700000000000003 L -25.099999999999966 5.799999999999997 L -28.69999999999999 3.5999999999999943 L -31 3.200000000000003 L -33.89999999999998 0.7000000000000028 L -33.19999999999999 -2.0999999999999943 L -33.39999999999998 -8.400000000000006 L -32.5 -10.900000000000006 L -35.099999999999966 -13 L -35.19999999999999 -15.400000000000006 L -33.19999999999999 -18.700000000000003 L -28.5 -21.799999999999997 L -28.899999999999977 -31.5 L -26.80000000000001 -33.5 L -23.099999999999966 -32.599999999999994 L -16.19999999999999 -35.5 L -13.699999999999989 -37.2 L -11.099999999999966 -36.900000000000006 L -11.599999999999966 -34.400000000000006 L -9.899999999999977 -32.2 L -6.899999999999977 -31.5 L -4.699999999999989 -30.200000000000003 L -3.3000000000000114 -27.5 L 8.600000000000023 -25.099999999999994 L 12.100000000000023 -23.400000000000006 L 19.80000000000001 -22.799999999999997 L 21.400000000000034 -20 L 24.69999999999999 -18.599999999999994 L 24.600000000000023 -13 L 27 -13.099999999999994 L 26.400000000000034 -10.200000000000003 L 28 -9.099999999999994 L 25.600000000000023 -6.200000000000003 L 23.69999999999999 0.4000000000000057 L 25 0.5 L 28.19999999999999 -4.700000000000003 L 30.100000000000023 -5.599999999999994 L 31.69999999999999 -4.299999999999997 L 29.900000000000034 4.200000000000003 L 30.69999999999999 5.599999999999994 L 28.400000000000034 10.799999999999997 L 29 14.400000000000006 L 27.100000000000023 22 L 27.600000000000023 26.099999999999994 L 29.30000000000001 29.5 L 29.600000000000023 34.900000000000006 L 7.699999999999989 36.400000000000006 L -3.599999999999966 37.099999999999994 Z"
US.ME,Maine,675.1,61.95,"M 10.199999999999932 10.549999999999997 L 11.5 8.25 L 12.899999999999977 9.25 L 11.299999999999955 12.950000000000003 Z  M -15.5 31.64999999999999 L -24.899999999999977 3.950000000000003 L -22.600000000000023 4.25 L -21.600000000000023 -1.75 L -19.200000000000045 -5.25 L -18.600000000000023 -9.350000000000001 L -19.700000000000045 -11.050000000000004 L -19.700000000000045 -16.050000000000004 L -18.700000000000045 -17.450000000000003 L -19.300000000000068 -22.25 L -14.600000000000023 -36.650000000000006 L -12.399999999999977 -37.150000000000006 L -11.200000000000045 -34.35 L -9.399999999999977 -33.85 L -2.3999999999999773 -38.75 L 3.5 -35.150000000000006 L 10.600000000000023 -13.350000000000001 L 15 -13.450000000000003 L 16.299999999999955 -8.150000000000006 L 18.199999999999932 -6.75 L 20.199999999999932 -7.650000000000006 L 24.899999999999977 -3.1500000000000057 L 22.799999999999955 1.0499999999999972 L 20.899999999999977 0.44999999999999574 L 20.600000000000023 2.549999999999997 L 15.5 5.1499999999999915 L 16 7.549999999999997 L 14.5 9.25 L 13.100000000000023 7.049999999999997 L 9.399999999999977 8.049999999999997 L 8.100000000000023 11.849999999999994 L 9.699999999999932 15.75 L 5.699999999999932 11.25 L 5.600000000000023 8.349999999999994 L 3.3999999999999773 11.049999999999997 L 4.100000000000023 17.349999999999994 L 2.6000000000000227 19.950000000000003 L 1.1000000000000227 19.64999999999999 L 0.10000000000002274 22.349999999999994 L -2.1000000000000227 23.14999999999999 L -2.8999999999999773 25.64999999999999 L -5 23.64999999999999 L -7.7000000000000455 27.049999999999997 L -6.7000000000000455 29.14999999999999 L -9.700000000000045 35.05 L -10.800000000000068 38.75 L -14.800000000000068 34.64999999999999 Z"
US.MI,Michigan,473.54999999999995,107.1,"M 29.750000000000057 -23.89999999999999 L 30.050000000000068 -21.39999999999999 L 27.250000000000057 -21.299999999999997 L 27.950000000000045 -24.099999999999994 Z  M -30.849999999999966 -52.89999999999999 L -32.64999999999998 -49.99999999999999 L -37.549999999999955 -46.599999999999994 L -37.549999999999955 -48.8 Z  M 40.950000000000045 48.30000000000001 L 30.550000000000068 50.099999999999994 L 24.350000000000023 51 L 24.150000000000034 50 L -1.1499999999999773 52.900000000000006 L 1.4500000000000455 49.5 L 3.750000000000057 44 L 4.850000000000023 36.20000000000002 L 4.350000000000023 32 L -0.7499999999999432 21.30000000000001 L 0.25000000000005684 18.60000000000001 L -1.2499999999999432 13.700000000000003 L 1.2500000000000568 8.5 L 0.7500000000000568 3.200000000000003 L 2.550000000000068 2 L 2.550000000000068 -0.7999999999999972 L 5.250000000000057 -1.6999999999999886 L 7.250000000000057 -5.8999999999999915 L 8.250000000000057 -3.8999999999999915 L 7.650000000000034 -0.29999999999999716 L 8.850000000000023 0.7000000000000028 L 10.350000000000023 -1.8999999999999915 L 10.050000000000068 -6.8999999999999915 L 12.350000000000023 -9.799999999999997 L 14.650000000000034 -10.099999999999994 L 12.950000000000045 -14.099999999999994 L 16.250000000000057 -17.39999999999999 L 19.750000000000057 -15.799999999999997 L 18.450000000000045 -17.89999999999999 L 21.150000000000034 -17.799999999999997 L 20.250000000000057 -15.699999999999989 L 23.050000000000068 -15.599999999999994 L 24.850000000000023 -13.5 L 32.05000000000007 -12 L 33.75000000000006 -10.899999999999991 L 35.05000000000007 -7.5 L 33.450000000000045 -6 L 36.150000000000034 -1.3999999999999915 L 36.25000000000006 4.900000000000006 L 34.25000000000006 6.300000000000011 L 34.05000000000007 9.800000000000011 L 30.950000000000045 11.400000000000006 L 31.150000000000034 16.60000000000001 L 34.05000000000007 17.5 L 36.05000000000007 15.600000000000009 L 38.450000000000045 10.400000000000006 L 42.05000000000007 8.5 L 45.25 10.600000000000009 L 48.75 21 L 50.75 25.099999999999994 L 50.55000000000007 31.400000000000006 L 46.75 31.900000000000006 L 46.450000000000045 36.099999999999994 L 43.85000000000002 38.80000000000001 L 43.05000000000007 44.599999999999994 Z  M -30.149999999999977 -35.5 L -28.449999999999932 -32.8 L -28.349999999999966 -29.69999999999999 L -26.049999999999955 -32.39999999999999 L -20.849999999999966 -32.099999999999994 L -18.849999999999966 -31.099999999999994 L -15.049999999999955 -26.099999999999994 L -10.749999999999943 -27 L -9.549999999999955 -25.69999999999999 L -6.249999999999943 -26.099999999999994 L -1.4499999999999318 -30.5 L 5.750000000000057 -31.19999999999999 L 9.250000000000057 -33.19999999999999 L 12.150000000000034 -33.69999999999999 L 11.450000000000045 -29.299999999999997 L 14.150000000000034 -28.39999999999999 L 16.150000000000034 -29.299999999999997 L 17.350000000000023 -28.099999999999994 L 18.850000000000023 -29.799999999999997 L 22.350000000000023 -30.599999999999994 L 22.650000000000034 -25.69999999999999 L 26.050000000000068 -22.299999999999997 L 24.650000000000034 -21.299999999999997 L 18.650000000000034 -21 L 17.050000000000068 -21.89999999999999 L 16.550000000000068 -18.39999999999999 L 12.850000000000023 -20.799999999999997 L 8.950000000000045 -21.799999999999997 L 6.650000000000034 -21.299999999999997 L 5.4500000000000455 -19.299999999999997 L -1.349999999999966 -18 L -2.5499999999999545 -15.399999999999991 L -6.249999999999943 -12.699999999999989 L -4.949999999999932 -16.599999999999994 L -7.349999999999966 -15.799999999999997 L -9.549999999999955 -13.199999999999989 L -10.049999999999955 -16.299999999999997 L -15.849999999999966 -2.1999999999999886 L -17.449999999999932 -3.299999999999997 L -16.849999999999966 -6.199999999999989 L -19.249999999999943 -6.099999999999994 L -19.149999999999977 -11.699999999999989 L -22.449999999999932 -13.099999999999994 L -24.049999999999955 -15.899999999999991 L -31.749999999999943 -16.5 L -35.24999999999994 -18.19999999999999 L -47.14999999999998 -20.599999999999994 L -48.549999999999955 -23.299999999999997 L -50.74999999999994 -24.599999999999994 L -46.349999999999966 -26.69999999999999 L -43.849999999999966 -29.099999999999994 L -39.349999999999966 -30 L -36.44999999999993 -32.599999999999994 L -34.549999999999955 -33 L -31.049999999999955 -37 L -30.449999999999932 -36.099999999999994 L -28.849999999999966 -39.39999999999999 L -24.749999999999943 -41.69999999999999 L -20.949999999999932 -41.099999999999994 L -26.449999999999932 -36.5 L -28.249999999999943 -33 L -28.449999999999932 -35.3 Z"
US.NV,Nevada,90.9,187.45,"M -29.700000000000003 -65.14999999999999 L 6.5 -55.94999999999999 L 31.39999999999999 -50.349999999999994 L 42.79999999999998 -48.04999999999998 L 33.5 -1.9499999999999886 L 26.299999999999997 33.95000000000002 L 23.69999999999999 46.75 L 22 49.45000000000002 L 16.69999999999999 46.35000000000002 L 14.299999999999997 46.95000000000002 L 14.199999999999989 50.75 L 13 56.55000000000001 L 13.199999999999989 62.150000000000006 L 11.799999999999997 65.15 L -9.600000000000009 33.25 L -24.400000000000006 10.75 L -42.800000000000004 -16.649999999999977 Z"
US.NM,New Mexico,216.75,280.75,"M -33.55000000000001 -47.94999999999999 L 47.14999999999998 -38.94999999999999 L 46.64999999999998 -32.75 L 46.44999999999999 -30.650000000000006 L 45.85000000000002 -30.349999999999994 L 39.75 44.55000000000001 L -11.650000000000006 39.55000000000001 L -9.849999999999994 43.64999999999998 L -34.25 40.44999999999999 L -35.25 47.94999999999999 L -47.150000000000006 46.25 L -40.349999999999994 -0.9499999999999886 Z"
US.CO,Colorado,232.1,204.64999999999998,"M 31.799999999999983 37.150000000000034 L -48.900000000000006 28.150000000000034 L -40.79999999999998 -27.649999999999977 L -39.29999999999998 -38.04999999999998 L 23.599999999999994 -30.74999999999997 L 48.900000000000006 -28.74999999999997 L 47.79999999999998 -12.049999999999983 L 47.099999999999994 -1.049999999999983 L 44.599999999999994 38.05000000000001 Z"
