vertex_id,title,x,y,path
US.CA,California,228.35,518.8,"M -25.650000000000006 -54.799999999999955 L 4.650000000000006 -45.799999999999955 L -3.25 -16.699999999999932 L 7.849999999999994 -0.2999999999999545 L 16.650000000000006 13.200000000000045 L 29.549999999999983 32.40000000000009 L 30.549999999999983 38.10000000000002 L 32.150000000000006 40.30000000000007 L 28.25000000000003 43 L 28.049999999999983 45.200000000000045 L 25.55000000000001 47.80000000000007 L 25.05000000000001 51.10000000000002 L 26.650000000000006 52.5 L 24.05000000000001 54.80000000000007 L 3.6500000000000057 52.10000000000002 L 3.3499999999999943 46.10000000000002 L 2.3499999999999943 43.5 L -2.049999999999983 37.90000000000009 L -4.049999999999983 37.700000000000045 L -4.449999999999989 34.5 L -6.650000000000006 34.30000000000007 L -9.549999999999983 32 L -11.449999999999989 33.10000000000002 L -18.349999999999994 31.200000000000045 L -15.449999999999989 31.200000000000045 L -11.449999999999989 33 L -9.75 30.90000000000009 L -12.150000000000006 28.5 L -18.94999999999999 26.40000000000009 L -20.049999999999983 24.700000000000045 L -18.44999999999999 19.300000000000068 L -22.150000000000006 12.800000000000068 L -25.049999999999983 2.400000000000091 L -22.849999999999994 0.6000000000000227 L -26.549999999999983 -4.5 L -25.75 -10.399999999999977 L -22.94999999999999 -6.199999999999932 L -24.650000000000006 -13.599999999999966 L -25.75 -10.799999999999955 L -27.94999999999999 -13.699999999999932 L -28.44999999999999 -18.299999999999955 L -31.44999999999999 -24.099999999999966 L -29.650000000000006 -33.19999999999993 L -32.150000000000006 -38.49999999999994 L -31.849999999999994 -40.39999999999998 L -27.849999999999994 -45.39999999999998 L -26.349999999999994 -48.99999999999994 Z"
US.OR,Oregon,234.45,451.3,"M -1.4499999999999886 21.69999999999999 L -31.75 12.699999999999989 L -32.349999999999994 9.099999999999966 L -31.549999999999983 3.8999999999999773 L -25.549999999999983 -5.199999999999989 L -22.049999999999983 -14.100000000000023 L -18.649999999999977 -20.80000000000001 L -17.349999999999994 -27.19999999999999 L -11.949999999999989 -25.30000000000001 L -10.349999999999994 -24 L -10.549999999999983 -19.30000000000001 L -7.549999999999983 -17.400000000000034 L -3.9499999999999886 -18 L 0.05000000000001137 -15.900000000000034 L 6.850000000000023 -15.100000000000023 L 11.650000000000006 -15.800000000000011 L 15.850000000000023 -15.5 L 30.44999999999999 -11.900000000000034 L 32.35000000000002 -7.100000000000023 L 28.25 -1.1999999999999886 L 24.650000000000034 2.5 L 24.25 4.300000000000011 L 26.150000000000034 5.899999999999977 L 24.350000000000023 9.699999999999989 L 20.25 27.19999999999999 Z"
US.ND,North Dakota,380.6,440.1,"M -5.7000000000000455 -15.300000000000011 L 21.099999999999966 -14.400000000000034 L 22.099999999999966 -14.300000000000011 L 22.899999999999977 -10.800000000000011 L 22.69999999999999 -5.900000000000034 L 24.5 1 L 24.799999999999955 9.599999999999966 L 26.099999999999966 12.899999999999977 L 26.399999999999977 16.69999999999999 L 18.19999999999999 16.599999999999966 L -26.400000000000034 14.199999999999989 L -26.200000000000045 12.299999999999955 L -23.700000000000045 -16.700000000000045 L -6.900000000000034 -15.400000000000034 L -5.7000000000000455 -15.300000000000011 Z"
CA.SK,Saskatchewan,347.75,364.6,"M 27.149999999999977 60.19999999999999 L 20.05000000000001 59.69999999999999 L 9.149999999999977 58.799999999999955 L -30.55000000000001 54 L -30.55000000000001 54 L -30.55000000000001 53.89999999999998 L -12.850000000000023 -60.200000000000045 L 27.850000000000023 -55.60000000000002 L 30.55000000000001 -55.5 L 30.55000000000001 -55.400000000000034 L 27.55000000000001 -10.700000000000045 L 27.149999999999977 60.19999999999999 Z"
US.MT,Montana,315.95,437.4,"M 1.25 -18.799999999999955 L 40.94999999999999 -14 L 38.44999999999999 15 L 38.25 16.900000000000034 L 37.44999999999999 26.400000000000034 L 37.35000000000002 26.400000000000034 L -12.449999999999989 20.100000000000023 L -13.25 25.100000000000023 L -14.649999999999977 22.400000000000034 L -16.349999999999966 23.700000000000045 L -21.55000000000001 22.900000000000034 L -22.649999999999977 23.700000000000045 L -27.149999999999977 23 L -28.849999999999966 19.200000000000045 L -31.55000000000001 9.400000000000034 L -34.55000000000001 11 L -35.849999999999966 9.800000000000011 L -34.14999999999998 6.800000000000011 L -33.849999999999966 3 L -32.349999999999966 -0.8999999999999773 L -33.849999999999966 -0.8999999999999773 L -37.75 -8.199999999999989 L -39.94999999999999 -10.399999999999977 L -39.349999999999966 -13 L -40.94999999999999 -16.5 L -38.64999999999998 -26.399999999999977 L -25.75 -23.599999999999966 L -25.649999999999977 -23.599999999999966 L -25.649999999999977 -23.599999999999966 L 0.44999999999998863 -18.899999999999977 L 0.44999999999998863 -18.899999999999977 L 1.25 -18.799999999999955 Z"
US.AZ,Arizona,278.65,564.15,"M -20.75 -12.949999999999932 L -19.25 -23.850000000000023 L -14.649999999999977 -22.449999999999932 L -13.649999999999977 -24.049999999999955 L -12.049999999999955 -31.75 L 13.950000000000045 -26.949999999999932 L 27.55000000000001 -24.850000000000023 L 23.55000000000001 3.3500000000000227 L 19.350000000000023 31.75 L 2.5500000000000114 29.050000000000068 L -27.549999999999983 11.350000000000023 L -26.24999999999997 9.450000000000045 L -23.649999999999977 7.149999999999977 L -25.24999999999997 5.75 L -24.74999999999997 2.4500000000000455 L -22.25 -0.14999999999997726 L -22.049999999999955 -2.3500000000000227 L -18.149999999999977 -5.0499999999999545 L -19.75 -7.25 Z"
US.NV,Nevada,250.8,512.1,"M 15.800000000000011 20.299999999999955 L 14.199999999999989 28 L 13.199999999999989 29.600000000000023 L 8.599999999999966 28.199999999999932 L 7.099999999999966 39.10000000000002 L -5.800000000000011 19.899999999999977 L -14.600000000000023 6.399999999999977 L -25.700000000000017 -10 L -17.80000000000001 -39.10000000000002 L 3.8999999999999773 -33.60000000000002 L 18.899999999999977 -30.30000000000001 L 25.69999999999999 -28.900000000000034 L 20.099999999999966 -1.2000000000000455 Z"
US.AL,Alabama,491.1,586.85,"M -4.900000000000034 22.149999999999977 L -6.800000000000011 24.649999999999977 L -13.400000000000034 23.850000000000023 L -15.400000000000034 8.75 L -14.600000000000023 -21.649999999999977 L -15.5 -22.649999999999977 L -15.5 -22.75 L 5.699999999999989 -24.649999999999977 L 11.5 -4.649999999999977 L 14.899999999999977 1.75 L 13.299999999999955 6.5499999999999545 L 15.5 14.649999999999977 L -6.900000000000034 17.049999999999955 Z"
US.NM,New Mexico,326.3,568.0999999999999,"M -5.800000000000011 26.200000000000045 L -20.5 24.200000000000045 L -21.100000000000023 28.800000000000068 L -28.30000000000001 27.800000000000068 L -24.100000000000023 -0.599999999999909 L -20.100000000000023 -28.799999999999955 L 28.30000000000001 -23.399999999999864 L 28 -19.699999999999932 L 27.899999999999977 -18.399999999999864 L 27.599999999999966 -18.299999999999955 L 23.899999999999977 26.700000000000045 L -6.900000000000034 23.700000000000045 Z"
US.CO,Colorado,335.54999999999995,522.4000000000001,"M 19.050000000000068 22.299999999999955 L -29.349999999999966 16.899999999999864 L -24.449999999999932 -16.60000000000008 L -23.549999999999955 -22.800000000000068 L 14.150000000000034 -18.40000000000009 L 29.350000000000023 -17.300000000000068 L 28.750000000000057 -7.2000000000000455 L 28.250000000000057 -0.7000000000000455 L 26.850000000000023 22.799999999999955 Z"
